Month,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1225489,-,-,-,40.53,-74.58,-5,18,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,Degrees,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
January,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Relative Humidity,Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,15,30,40,714,173,-10,53.54,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,16,30,13,301,22,-9,59.59,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,17,30,0,0,0,-11,51.51,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,18,30,0,0,0,-12,49.46,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,19,30,0,0,0,-12,52.56,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,20,30,0,0,0,-12,56.8,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,21,30,0,0,0,-12,57.11,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,22,30,0,0,0,-12,61.57,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,23,30,0,0,0,-12,61.08,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,0,30,0,0,0,-12,60.38,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,1,30,0,0,0,-12,59.65,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,2,30,0,0,0,-12,59.53,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,3,30,0,0,0,-12,60.11,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,4,30,0,0,0,-12,65.59,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,5,30,0,0,0,-12,65.73,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,6,30,0,0,0,-12,70.61,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,7,30,0,0,0,-12,61.87,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,6,8,30,40,671,153,-9,64.14,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
